Query #,Timestamp,Question,Category,Expected Table,Status,SQL Generated,Data Rows,Insights,Retrieval Accuracy,Generation Fidelity,Latency (s),Retrieval Passed,Fidelity Passed,Overall Passed,Retrieval Details,Fidelity Details
11,2026-02-04T11:26:56.275423,توزيع المشاريع المستقبلية حسب السنة,distribution,future_projects,success,"SELECT year, COUNT(*) as count FROM future_projects GROUP BY year ORDER BY count DESC LIMIT 20",4,توزيع المشاريع المستقبلية حسب السنة يظهر أن عام 2022 يحتوي على أكبر عدد من المشاريع المستقبلية، حيث يبلغ عددها 18138 مشروعا، يليها عام 2023 ب 11512 مشروعا، ثم عام 2021 ب 6192 مشروعا، وأخيرا عام 2020 ب 1922 مشروعا. يبلغ المجموع الكلي للمشاريع المستقبلية 37764 مشروعا، بمتوسط 9441 مشروعا لكل سنة.,1.00,1.00,0.907,True,True,True,Valid SQL generated; Correct table: future_projects; Retrieved 4 rows,Substantive response for success status; Arabic language used; Contains 10 numbers; No hallucination markers
12,2026-02-04T11:26:56.939412,ما هي طبيعة المشاريع المستقبلية الأكثر شيوعاً؟,aggregation,future_projects,success,"SELECT project_nature, COUNT(*) as count FROM future_projects GROUP BY project_nature ORDER BY count DESC LIMIT 1",1,تظهر البيانات أن طبيعة المشاريع المستقبلية الأكثر شيوعا هي توريد، حيث بلغت 2078 مشروع,1.00,1.00,0.664,True,True,True,Valid SQL generated; Correct table: future_projects; Retrieved 1 rows,Substantive response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
13,2026-02-04T11:27:01.796307,أعرض المناقصات التي تنتهي قريباً,time_filter,tenders_full_details,success,"SELECT tender_name, submission_deadline FROM tenders_full_details ORDER BY submission_deadline ASC LIMIT 20",20,جميع المناقصات الـ 20 التي تم تقديمها تنتهي قريباً ولكن لا توجد تواريخ انتهاء محددة، مما يصعب تحديد المناقصات التي تنتهي قريباً بشكل دقيق. لا توجد أرقام محددة لتواريخ الانتهاء.,1.00,1.00,4.857,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 20 rows,Substantive response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
14,2026-02-04T11:27:05.573087,كم عدد الجهات الحكومية المسجلة؟,count,government_entity,success,SELECT COUNT(*) as total FROM government_entity,1,يوجد 1681 جهة حكومية مسجلة,1.00,1.00,3.777,True,True,True,Valid SQL generated; Correct table: government_entity; Retrieved 1 rows,Insufficient response for success status; Arabic language used; Contains 1 numbers; No hallucination markers
15,2026-02-04T11:27:11.643981,ما هي الأنشطة الرئيسية للمناقصات؟,lookup,primary_activity,success,"SELECT competition_activity, COUNT(*) as count FROM tenders_full_details GROUP BY competition_activity ORDER BY count DESC LIMIT 20",20,تشير البيانات إلى أن الأنشطة الطبية هي الأكثر نشاطاً في المناقصات بعدد 562 مناقصة، يليها تجارة قطع الغيار الجديدة بعدد 363 مناقصة، وتجارة مواد البناء والأدوات الكهربائية والصحية بعدد 130 مناقصة. يبلغ مجموع المناقصات 1950، بمتوسط 97.5 مناقصة لكل نشاط.,1.00,1.00,6.071,True,True,True,Valid SQL generated; Expected table primary_activity not found in SQL; Retrieved 20 rows,Substantive response for success status; Arabic language used; Contains 6 numbers; No hallucination markers
16,2026-02-04T11:27:11.643981,ما هو الطقس اليوم؟,out_of_scope,,out_of_scope,,0,عذرا، غير متوفرة البيانات اللازمة لتحليل هذا السؤال.,1.00,1.00,0.000,True,True,True,Correctly identified out-of-scope query,Correct out-of-scope response
17,2026-02-04T11:27:11.643981,أخبرني عن أسعار الأسهم,out_of_scope,,out_of_scope,,0,عذرا، غير متوفرة البيانات اللازمة لتحليل هذا السؤال.,1.00,1.00,0.000,True,True,True,Correctly identified out-of-scope query,Correct out-of-scope response
18,2026-02-04T11:27:21.073673,ما هي أفضل المطاعم في الرياض؟,out_of_scope,,success,"SELECT tender_name, government_entity FROM tenders_full_details WHERE execution_location LIKE '%الرياض%' LIMIT 20",20,البيانات المقدمة لا تتضمن معلومات عن المطاعم في الرياض، بل تتضمن معلومات عن مناقصات حكومية لشراء مواد طبية وخدمات أخرى.,0.00,0.00,9.430,False,False,False,Failed to identify out-of-scope query,Did not provide proper out-of-scope message
19,2026-02-04T11:27:26.093796,توزيع المناقصات حسب المنطقة,distribution,tenders_full_details,success,"SELECT execution_location, COUNT(*) as count FROM tenders_full_details GROUP BY execution_location ORDER BY count DESC LIMIT 20",20,توزيع المناقصات حسب المنطقة يظهر أن منطقة الرياض هي الأكثر من حيث عدد المناقصات ب 558 مناقصة، يليها منطقة مكة المكرمة ب 350 مناقصة، ثم منطقة القصيم ب 125 مناقصة. يبلغ المجموع الكلي للمناقصات 1963 مناقصة، بمتوسط 98.2 مناقصة لكل منطقة.,1.00,1.00,5.020,True,True,True,Valid SQL generated; Correct table: tenders_full_details; Retrieved 20 rows,Substantive response for success status; Arabic language used; Contains 6 numbers; No hallucination markers
20,2026-02-04T11:27:31.108157,أعلى 5 جهات حكومية من حيث عدد المشاريع المستقبلية,aggregation,future_projects,success,"SELECT government_entity, COUNT(*) as count FROM future_projects GROUP BY government_entity ORDER BY count DESC LIMIT 5",5,تظهر البيانات أن أمانة منطقة المدينة المنورة تحتل المرتبة الأولى من حيث عدد المشاريع المستقبلية ب 1036 مشروع، يليها أمانة منطقة حائل ب 987 مشروع، ثم المؤسسة العامة للتدريب التقني والمهني ب 980 مشروع. يبلغ المجموع الكلي للمشاريع المستقبلية 4733 مشروع، بمتوسط 946.6 مشروع لكل جهة حكومية.,1.00,1.00,4.999,True,True,True,Valid SQL generated; Correct table: future_projects; Retrieved 5 rows,Substantive response for success status; Arabic language used; Contains 6 numbers; No hallucination markers
